item_id,item_name,category,unit_price
K001,からあげクン レギュラー,ホットスナック,238
K002,からあげクン レッド,ホットスナック,238
K003,からあげクン チーズ,ホットスナック,238
L001,Lチキ,ホットスナック,210
L002,Lチキ 旨辛,ホットスナック,210
O001,おにぎり 鮭,おにぎり,140
O002,おにぎり ツナマヨ,おにぎり,130
O003,おにぎり 明太子,おにぎり,150
O004,おにぎり 梅,おにぎり,120
B001,幕の内弁当,弁当,498
B002,のり弁当,弁当,398
B003,チキン南蛮弁当,弁当,548
S001,サンドイッチ たまご,サンドイッチ,298
S002,サンドイッチ ハムチーズ,サンドイッチ,328
D001,お茶 500ml,飲料,150
D002,コーヒー 缶,飲料,130
D003,スポーツドリンク,飲料,160
D004,コーラ 500ml,飲料,170
I001,アイスクリーム バニラ,アイス,180
I002,アイスクリーム チョコ,アイス,180
N001,肉まん,中華まん,150
N002,ピザまん,中華まん,150
OD01,おでん 大根,おでん,90
OD02,おでん たまご,おでん,100
OD03,おでん ちくわ,おでん,110
C001,カップ麺 醤油,カップ麺,220
C002,カップ麺 味噌,カップ麺,220
SW01,シュークリーム,スイーツ,150
SW02,プリン,スイーツ,180
